file, TP, TN, FP, FN
3_block_1_img_20210804_140850_349_rgb_image_cropped_cropped, 4225.000000, 57571.000000, 2054.000000, 16022.000000
3_block_1_img_20210806_140125_964_rgb_image_cropped_cropped, 4629.000000, 64238.000000, 3104.000000, 7901.000000
3_block_2_img_20210802_132831_034_rgb_image_cropped_cropped, 4595.000000, 58298.000000, 3573.000000, 13406.000000
3_block_2_img_20210804_140906_215_rgb_image_cropped_cropped, 3401.000000, 55302.000000, 1231.000000, 19938.000000
3_block_2_img_20210806_140142_600_rgb_image_cropped_cropped, 6287.000000, 58421.000000, 3542.000000, 11622.000000
3_block_3_img_20210802_132847_812_rgb_image_cropped_cropped, 3921.000000, 55370.000000, 2446.000000, 18135.000000
3_block_3_img_20210804_140927_201_rgb_image_cropped_cropped, 3401.000000, 55302.000000, 1231.000000, 19938.000000
3_block_3_img_20210806_140157_068_rgb_image_cropped_cropped, 5863.000000, 57407.000000, 2477.000000, 14125.000000
3_block_4_img_20210802_132907_454_rgb_image_cropped_cropped, 5672.000000, 50541.000000, 1703.000000, 21956.000000
3_block_4_img_20210804_140944_397_rgb_image_cropped_cropped, 3401.000000, 55302.000000, 1231.000000, 19938.000000
3_block_4_img_20210806_140222_151_rgb_image_cropped_cropped, 5059.000000, 52389.000000, 1578.000000, 20846.000000
3_block_5_img_20210802_132925_638_rgb_image_cropped_cropped, 3854.000000, 61187.000000, 2243.000000, 12588.000000
3_block_5_img_20210804_141006_187_rgb_image_cropped_cropped, 3401.000000, 55302.000000, 1231.000000, 19938.000000
3_block_5_img_20210806_140350_002_rgb_image_cropped_cropped, 2639.000000, 65455.000000, 1782.000000, 9996.000000
3_block_6_img_20210802_132945_187_rgb_image_cropped_cropped, 5644.000000, 61783.000000, 3619.000000, 8826.000000
3_block_6_img_20210804_141025_606_rgb_image_cropped_cropped, 5780.000000, 55152.000000, 2276.000000, 16664.000000
3_block_6_img_20210806_140411_237_rgb_image_cropped_cropped, 6209.000000, 60016.000000, 3740.000000, 9907.000000
3_block_7_img_20210802_133004_068_rgb_image_cropped_cropped, 3740.000000, 63061.000000, 2682.000000, 10389.000000
3_block_7_img_20210804_141047_653_rgb_image_cropped_cropped, 5742.000000, 55641.000000, 2107.000000, 16382.000000
3_block_7_img_20210806_140430_015_rgb_image_cropped_cropped, 3616.000000, 63092.000000, 2512.000000, 10652.000000
3_block_8_img_20210802_133020_495_rgb_image_cropped_cropped, 3404.000000, 58357.000000, 1973.000000, 16138.000000
3_block_8_img_20210804_141107_093_rgb_image_cropped_cropped, 3306.000000, 58029.000000, 1500.000000, 17037.000000
3_block_8_img_20210806_140451_134_rgb_image_cropped_cropped, 3276.000000, 59857.000000, 1941.000000, 14798.000000
3_block_9_img_20210802_133202_993_rgb_image_cropped_cropped, 4054.000000, 60494.000000, 2035.000000, 13289.000000
3_block_9_img_20210804_141241_122_rgb_image_cropped_cropped, 6168.000000, 53034.000000, 2450.000000, 18220.000000
3_block_9_img_20210806_140508_599_rgb_image_cropped_cropped, 5552.000000, 58142.000000, 2315.000000, 13863.000000
4_block_1_img_20210802_133815_997_rgb_image_cropped_cropped, 4357.000000, 54293.000000, 1352.000000, 19870.000000
4_block_1_img_20210804_141907_954_rgb_image_cropped_cropped, 3555.000000, 59537.000000, 1388.000000, 15392.000000
4_block_1_img_20210806_141046_670_rgb_image_cropped_cropped, 4844.000000, 56399.000000, 1711.000000, 16918.000000
4_block_2_img_20210802_133840_000_rgb_image_cropped_cropped, 3970.000000, 64828.000000, 3092.000000, 7982.000000
4_block_2_img_20210804_141926_501_rgb_image_cropped_cropped, 4342.000000, 59482.000000, 2885.000000, 13163.000000
4_block_2_img_20210806_141105_694_rgb_image_cropped_cropped, 2974.000000, 63319.000000, 3303.000000, 10276.000000
4_block_3_img_20210802_133901_481_rgb_image_cropped_cropped, 2706.000000, 61372.000000, 1830.000000, 13964.000000
4_block_3_img_20210804_141952_904_rgb_image_cropped_cropped, 2410.000000, 56124.000000, 1056.000000, 20282.000000
4_block_3_img_20210806_141124_134_rgb_image_cropped_cropped, 3473.000000, 61886.000000, 1727.000000, 12786.000000
4_block_4_img_20210802_133918_644_rgb_image_cropped_cropped, 5041.000000, 58372.000000, 2453.000000, 14006.000000
4_block_4_img_20210804_142008_461_rgb_image_cropped_cropped, 3898.000000, 55863.000000, 1841.000000, 18270.000000
4_block_4_img_20210806_141141_887_rgb_image_cropped_cropped, 4057.000000, 58894.000000, 2539.000000, 14382.000000
4_block_5_img_20210802_133939_650_rgb_image_cropped_cropped, 4947.000000, 56954.000000, 2063.000000, 15908.000000
4_block_5_img_20210804_142027_771_rgb_image_cropped_cropped, 4205.000000, 52955.000000, 2536.000000, 20176.000000
4_block_5_img_20210806_141200_205_rgb_image_cropped_cropped, 4559.000000, 58681.000000, 2180.000000, 14452.000000
4_block_6_img_20210802_133957_622_rgb_image_cropped_cropped, 6102.000000, 56706.000000, 2896.000000, 14168.000000
4_block_6_img_20210804_142046_479_rgb_image_cropped_cropped, 4748.000000, 56100.000000, 1636.000000, 17388.000000
4_block_6_img_20210806_141217_585_rgb_image_cropped_cropped, 6204.000000, 55131.000000, 2390.000000, 16147.000000
4_block_7_img_20210802_134014_199_rgb_image_cropped_cropped, 3268.000000, 59748.000000, 1579.000000, 15277.000000
4_block_7_img_20210804_142102_113_rgb_image_cropped_cropped, 4748.000000, 56100.000000, 1636.000000, 17388.000000
